time_s,pose_x_m_est,pose_y_m_est,method
144.0,19.07158157817706,-49.59703273159365,proposed
144.5,18.62814945747444,-49.67369852949518,proposed
145.0,18.17402227378219,-49.70817379742105,proposed
145.5,17.671988061015746,-49.72806781131499,proposed
146.0,17.163143603323483,-49.763452907683664,proposed
146.5,16.680472206457722,-49.77897114922476,proposed
147.0,16.21543641469184,-49.77146277260848,proposed
147.5,15.768281910405529,-49.79589213481969,proposed
148.0,15.322408417069273,-49.82014474423381,proposed
148.5,14.82459916623748,-49.846905708178916,proposed
149.0,14.348620163691916,-49.927952271316975,proposed
149.5,13.906344773925174,-49.93562270649435,proposed
150.0,13.454578152385684,-49.93200297628621,proposed
150.5,12.946344897244227,-49.92472906662772,proposed
151.0,12.470251385293194,-49.929226355143165,proposed
151.5,11.988202775285234,-49.91218213980278,proposed
152.0,11.459812806669433,-49.882137251397985,proposed
152.5,11.000644833862387,-49.84343897620119,proposed
153.0,10.521825656184333,-49.76627115052934,proposed
153.5,10.06124878263635,-49.73734709009983,proposed
154.0,9.561642870546333,-49.72431337798621,proposed
154.5,9.099477994015757,-49.658761405794635,proposed
155.0,8.63164279714801,-49.6053069857904,proposed
155.5,8.153960170246227,-49.53401828114181,proposed
156.0,7.667084578916282,-49.46883623472757,proposed
156.5,7.200511067822022,-49.38477054758965,proposed
157.0,6.714169816215405,-49.330930681570415,proposed
157.5,6.248233162959792,-49.24435522385794,proposed
158.0,5.781940521872621,-49.21823261101907,proposed
158.5,5.324209146367776,-49.06759512581396,proposed
159.0,4.88068316548632,-49.01359465414319,proposed
159.5,4.408365517069578,-48.91450727061745,proposed
160.0,3.939065272031097,-48.83358440476567,proposed
160.5,3.4580313674958476,-48.69830915447851,proposed
161.0,3.0152076036199125,-48.58126488964616,proposed
161.5,2.57819520266566,-48.47118284029579,proposed
162.0,2.1134081714022854,-48.34919510406936,proposed
162.5,1.6227589878399742,-48.21944923743706,proposed
163.0,1.2054751455349557,-48.04417670103779,proposed
163.5,0.755402414647554,-47.90303229482291,proposed
164.0,0.34413297642691576,-47.75726000429201,proposed
164.5,-0.11710520967475546,-47.57910273861972,proposed
165.0,-0.6035700217283698,-47.419806948328336,proposed
165.5,-1.0512084288389412,-47.24118282388211,proposed
166.0,-1.5089461687818615,-47.07282644109377,proposed
166.5,-1.949388261663245,-46.90120501068172,proposed
167.0,-2.3942380575366236,-46.69991746120876,proposed
167.5,-2.8198658355258366,-46.50059892205306,proposed
168.0,-3.2936643616161274,-46.298161099006826,proposed
168.5,-3.7473126192275106,-46.055419627093485,proposed
169.0,-4.180113902764269,-45.85694256437913,proposed
169.5,-4.576303247379733,-45.621746716232714,proposed
170.0,-5.0098914746017655,-45.435317210777754,proposed
170.5,-5.4756440775754465,-45.24097700586505,proposed
171.0,-5.892079584104457,-45.021373479359866,proposed
171.5,-6.334520587416109,-44.80233488998199,proposed
172.0,-6.7147042441902505,-44.54428142484753,proposed
172.5,-7.091618797142415,-44.3221321138354,proposed
173.0,-7.487344981109958,-44.063697058298025,proposed
173.5,-7.865590950473751,-43.81601366177654,proposed
174.0,-8.291983418156647,-43.584107262126,proposed
174.5,-8.698358098220083,-43.32533081968204,proposed
175.0,-9.095566931726962,-43.0950136399238,proposed
175.5,-9.466981482989338,-42.85899065598422,proposed
176.0,-9.835652190429537,-42.59503868870119,proposed
176.5,-10.188946069893793,-42.35849947287329,proposed
177.0,-10.554436268921943,-42.10119103591979,proposed
177.5,-10.9683307474609,-41.77867837364932,proposed
178.0,-11.337377647265814,-41.52225391015703,proposed
178.5,-11.715791581265647,-41.19627509962495,proposed
179.0,-12.083060614649936,-40.89675849964586,proposed
179.5,-12.433816990696583,-40.585139839372644,proposed
180.0,-12.844750455076579,-40.27521588857899,proposed
180.5,-13.204094271128252,-39.95802052799765,proposed
181.0,-13.580191533836558,-39.631134748202136,proposed
181.5,-13.93968397215473,-39.355139194122,proposed
182.0,-14.329841188667265,-39.02291894121498,proposed
182.5,-14.669846356827593,-38.71095503204657,proposed
183.0,-15.006574701466871,-38.36592158729416,proposed
183.5,-15.360669348712879,-38.018341957585804,proposed
184.0,-15.697814945676798,-37.65645169232672,proposed
184.5,-16.01964195262133,-37.33369130288105,proposed
185.0,-16.375188100939347,-36.9500445642536,proposed
185.5,-16.690607967866846,-36.58124032292259,proposed
186.0,-17.00428935796363,-36.197154836316955,proposed
186.5,-17.329097130751364,-35.8433040392617,proposed
187.0,-17.64045190718382,-35.477562825020925,proposed
187.5,-17.925667003363856,-35.07272929350438,proposed
188.0,-18.221828841939196,-34.727432131802274,proposed
188.5,-18.558837889354756,-34.379181957632596,proposed
189.0,-18.862969391331575,-33.97668798912635,proposed
189.5,-19.174232095610847,-33.605850085708774,proposed
190.0,-19.472157714205004,-33.23442473590258,proposed
190.5,-19.762334888215534,-32.84715972097587,proposed
191.0,-20.069192008116147,-32.44820548749236,proposed
191.5,-20.337049446715614,-32.08254583020305,proposed
192.0,-20.616922988893926,-31.72644527091299,proposed
192.5,-20.902087881928118,-31.303863152321455,proposed
193.0,-21.15417753614208,-30.9053626054712,proposed
193.5,-21.437078620753343,-30.49683067079337,proposed
194.0,-21.72841656233256,-30.076108439682233,proposed
194.5,-22.013118240011547,-29.643212696148066,proposed
195.0,-22.286954978989943,-29.22682849603461,proposed
195.5,-22.52891596315443,-28.785706734225492,proposed
196.0,-22.764347982603976,-28.34981725213877,proposed
196.5,-23.03306913385575,-27.91747658219631,proposed
197.0,-23.276662386628846,-27.490855515034013,proposed
197.5,-23.510075720156053,-27.07117155140783,proposed
198.0,-23.7413283079594,-26.63584976773553,proposed
198.5,-23.977467385482697,-26.216030640617014,proposed
199.0,-24.224390292736903,-25.737902276322377,proposed
199.5,-24.43824653663568,-25.246360242401362,proposed
200.0,-24.607973845392156,-24.76519011346571,proposed
200.5,-24.917854204964637,-24.19572703051662,proposed
201.0,-25.13016701180536,-23.759197989705815,proposed
201.5,-25.36127009621204,-23.325908017604,proposed
202.0,-25.521691090364037,-22.677228989280497,proposed
202.5,-25.84095080768992,-22.054652043075865,proposed
203.0,-25.902493256297067,-21.599936999073662,proposed
203.5,-26.120254097015117,-21.236710257397977,proposed
204.0,-26.36602545649174,-20.81170972484517,proposed
204.5,-26.54218680253329,-20.33801715483428,proposed
205.0,-26.643946858311494,-19.80739040225834,proposed
205.5,-26.782640117448512,-19.330367036625216,proposed
206.0,-26.843662114951634,-18.780274532529315,proposed
206.5,-26.955681204337314,-18.32808056404822,proposed
207.0,-27.00956027284666,-17.774219530959503,proposed
207.5,-27.166864741708377,-17.439381435011594,proposed
208.0,-27.291660867675045,-17.004223405654194,proposed
208.5,-27.361342263967767,-16.494250892430024,proposed
209.0,-27.617770146440005,-15.976115832755127,proposed
209.5,-27.59696690275655,-15.492143668187275,proposed
210.0,-27.70935458384654,-15.021727449854799,proposed
210.5,-27.808154808737445,-14.357765571618787,proposed
211.0,-27.796780323120522,-13.917962783873262,proposed
211.5,-27.900538128450194,-13.41599341312748,proposed
212.0,-27.947333732727124,-12.865801756224409,proposed
212.5,-28.04299277116933,-12.492879507711582,proposed
213.0,-28.135354369562688,-12.02441390968825,proposed
213.5,-28.30592201401888,-11.431817504558687,proposed
214.0,-28.373350367855807,-11.03225625453927,proposed
214.5,-28.226220490282458,-10.476836497444522,proposed
215.0,-28.200497221725474,-9.852860049321386,proposed
215.5,-28.30043981484451,-9.281592457179219,proposed
216.0,-28.554381150357322,-8.6645936010225,proposed
216.5,-28.60428047664618,-8.093077795925169,proposed
217.0,-28.64900492694898,-7.382872049303644,proposed
217.5,-28.550209908295443,-7.1443126438884414,proposed
218.0,-28.517633651213387,-6.656430022093859,proposed
218.5,-28.475413979381948,-6.075971140037421,proposed
219.0,-28.570230146145306,-5.568865949806044,proposed
219.5,-28.68909579216525,-4.890185071407794,proposed
220.0,-28.65882094834257,-4.323320183543342,proposed
220.5,-28.625581018349834,-3.9151365554324924,proposed
221.0,-28.551788663146073,-3.2029071067925745,proposed
221.5,-28.706087745020024,-2.6721566175617806,proposed
222.0,-28.607830228744866,-2.2294671162171045,proposed
222.5,-28.5070128813576,-1.7017952683047013,proposed
223.0,-28.554887224980273,-1.4464365495089837,proposed
223.5,-28.531849978764576,-0.9309289393887068,proposed
224.0,-28.352504394857316,-0.3713008564086203,proposed
224.5,-28.364450004867848,-0.015402611994260462,proposed
225.0,-28.22105240814495,0.5207170757953186,proposed
225.5,-28.207528462559196,0.9865358280637164,proposed
226.0,-28.013804176285674,1.6584610357192746,proposed
226.5,-28.01414588114603,1.936562612442937,proposed
227.0,-27.964908784241974,2.4838172116924744,proposed
227.5,-27.87969400209606,2.838706383027882,proposed
228.0,-27.633157263455075,3.1627541137809,proposed
228.5,-27.62463784255378,3.575895723326398,proposed
229.0,-27.64542141691293,3.8647634261718804,proposed
229.5,-27.539593827433418,4.536959360180255,proposed
230.0,-27.452353651482188,4.950166187836796,proposed
230.5,-27.19168670741417,5.5598405309574295,proposed
231.0,-27.166091391321114,6.113694931991202,proposed
231.5,-26.929816994362408,6.535994771304314,proposed
232.0,-26.79026080488181,7.012516123758955,proposed
232.5,-26.785509880453503,7.547396480224343,proposed
233.0,-26.60197396002459,8.068348725005118,proposed
233.5,-26.5462615128834,8.807816457808917,proposed
234.0,-26.450307746173713,9.38171298290828,proposed
234.5,-26.21058999143675,9.629191280935496,proposed
235.0,-25.963152714979106,10.14229314639844,proposed
235.5,-25.826924607072414,10.64014875525276,proposed
236.0,-25.59508581675527,10.906354471247868,proposed
236.5,-25.416700295620824,11.460821183872154,proposed
237.0,-25.005819922996416,11.823892747169868,proposed
237.5,-24.7729111132039,12.277998020425256,proposed
238.0,-24.53032786134119,12.874769875729038,proposed
238.5,-24.41261020483347,13.586181723783348,proposed
239.0,-24.070181274423717,14.171526522678992,proposed
239.5,-23.901590854403583,14.611988373011885,proposed
240.0,-23.66819063047959,15.090658335789419,proposed
240.5,-23.47673926156291,15.680649450195075,proposed
241.0,-23.22766238161688,16.21542755932226,proposed
241.5,-22.908360140323744,16.712131249752318,proposed
242.0,-22.706728241064397,17.150496646888133,proposed
242.5,-22.402706367181246,17.621057589833704,proposed
243.0,-22.304490363873317,17.977587862345416,proposed
243.5,-22.1287988776548,18.44397216326889,proposed
244.0,-21.886904962545298,18.952397687294305,proposed
244.5,-21.6845319790448,19.443614418458523,proposed
245.0,-21.401548962176552,19.918690417129802,proposed
245.5,-21.143985272741737,20.375213764297854,proposed
246.0,-20.84512740263608,20.818078941916863,proposed
246.5,-20.53160184581672,21.28896705782189,proposed
247.0,-20.272134385671656,21.776911173191912,proposed
247.5,-19.972887592846803,22.252806917458358,proposed
248.0,-19.66435140014823,22.72046599470756,proposed
248.5,-19.356500186365093,23.212591434213365,proposed
249.0,-19.0496086839885,23.68989952034101,proposed
249.5,-18.792094103697316,24.153370070084282,proposed
250.0,-18.42332580075886,24.566520194104783,proposed
250.5,-18.061604751874036,25.033455086329354,proposed
251.0,-17.77855935553577,25.482226682620283,proposed
251.5,-17.44349849544023,25.947771264372218,proposed
252.0,-17.1226783787029,26.405552372647772,proposed
252.5,-16.756190114758077,26.86466125317226,proposed
253.0,-16.389450270770478,27.29072267720509,proposed
253.5,-16.029611873686747,27.77563312914736,proposed
254.0,-15.70506102208531,28.215094840380896,proposed
254.5,-15.376816127142021,28.670180642590662,proposed
255.0,-15.063552508864303,29.080966366707074,proposed
255.5,-14.649270537613774,29.490159778343386,proposed
256.0,-14.28400162202187,29.935322020327074,proposed
256.5,-13.916132698212015,30.30320945920685,proposed
257.0,-13.564956978751677,30.743266402503796,proposed
257.5,-13.152186699651692,31.104909819958213,proposed
258.0,-12.78976594877215,31.493181550116944,proposed
258.5,-12.410313113347678,31.87215013084248,proposed
259.0,-12.01571735077761,32.255583311032765,proposed
259.5,-11.629041598310986,32.62278925522461,proposed
260.0,-11.210934818801505,32.980611106466554,proposed
260.5,-10.797838120036523,33.388648113122585,proposed
261.0,-10.3444376425863,33.781614230801175,proposed
261.5,-9.926854578779988,34.12140272718722,proposed
262.0,-9.477224816455548,34.49871647490701,proposed
262.5,-9.049931997144208,34.87786675873957,proposed
263.0,-8.623182018540783,35.24438112939259,proposed
263.5,-8.203413726878697,35.62317349197454,proposed
264.0,-7.805481594476386,35.94728159895203,proposed
264.5,-7.389088365471627,36.32984499961071,proposed
265.0,-6.9398615030796815,36.665883406831526,proposed
265.5,-6.5150814716067345,37.010348218516306,proposed
266.0,-6.059617444367867,37.383160346039865,proposed
266.5,-5.563328005569369,37.71827614430826,proposed
267.0,-5.060154541740612,38.05382035385647,proposed
267.5,-4.596348185420148,38.405396995982606,proposed
268.0,-4.110588175256363,38.76614857596976,proposed
268.5,-3.6757814134095113,39.08981597772483,proposed
269.0,-3.1803403626558993,39.38229356083246,proposed
269.5,-2.7521244880142484,39.660956774123235,proposed
270.0,-2.2811923245435426,40.014302468291696,proposed
270.5,-1.8383330196524792,40.291319176742334,proposed
271.0,-1.3696542876135647,40.56773876221447,proposed
271.5,-0.9130032345381949,40.816068297555645,proposed
272.0,-0.4387220614359821,41.15002006947631,proposed
272.5,0.06299061348252105,41.461712681173296,proposed
273.0,0.5415162351358005,41.723266589584064,proposed
273.5,1.048352406789864,42.001066760407426,proposed
274.0,1.5450423094791508,42.31012289133195,proposed
274.5,2.027644489119178,42.55537791030862,proposed
275.0,2.5503729663299377,42.833341379498755,proposed
275.5,3.0330709138158913,43.092155488636166,proposed
